Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V)
327030,-10.94,-3.91,14.70,13.84,176,2955,0.00,36.50,9.46,102,0.00,8.27,-6.53,28.38,2.32,0.00,-2.32,11.76,0.92
327274,-10.16,-3.91,14.81,13.84,176,2955,0.00,36.50,9.49,102,0.00,8.27,-6.53,28.58,2.34,0.00,-2.32,11.76,0.92
327517,-10.94,-3.91,14.70,13.84,176,2968,0.00,36.50,9.50,102,0.00,8.42,-6.38,28.49,2.34,0.00,-2.01,11.76,0.92
327759,-10.94,-4.69,14.70,13.76,176,2968,0.00,36.50,9.50,102,0.00,8.42,-6.38,28.69,2.32,0.00,-2.01,11.76,0.92
328005,-10.16,-4.69,14.81,13.84,176,2974,0.00,36.50,9.47,102,0.00,8.42,-6.38,28.58,2.34,0.00,-2.01,11.76,0.92
328247,-10.16,-4.69,14.59,13.76,176,2964,0.00,36.50,9.49,102,0.00,8.42,-6.38,28.70,2.34,0.00,-2.01,11.76,0.94
328492,-10.16,-4.69,14.70,13.76,176,2965,0.00,36.50,9.49,102,0.00,8.42,-6.38,29.02,2.34,0.00,-2.01,11.76,0.92
328736,-10.16,-4.69,14.70,13.76,176,2966,0.00,36.50,9.49,102,0.00,8.42,-6.38,28.49,2.34,0.00,-2.01,12.16,0.92
328982,-10.16,-4.69,14.70,13.76,176,2977,0.00,37.00,9.51,102,0.00,8.27,-6.53,27.95,2.30,0.00,-2.01,10.98,0.90
329224,-14.06,-4.69,13.90,13.76,176,2975,0.00,38.50,6.98,102,0.00,6.96,-8.13,20.60,2.12,0.00,-3.25,8.24,0.80
329471,-11.72,-2.34,14.93,13.84,176,2969,0.00,38.50,6.97,102,0.00,6.24,-8.56,19.26,2.10,0.00,-3.56,7.84,0.80
329713,-11.72,-2.34,14.70,13.76,176,2966,0.00,38.00,6.33,104,0.00,6.09,-8.71,18.90,2.10,0.00,-3.56,7.45,0.80
329957,-10.16,-2.34,14.81,13.84,176,2960,0.00,38.00,6.35,104,0.00,6.09,-8.85,18.56,2.06,0.00,-3.87,7.06,0.78
330201,-10.16,-2.34,14.81,13.84,176,2962,0.00,36.00,5.69,104,0.00,5.51,-9.43,15.59,1.98,0.00,-4.18,5.88,0.74
330445,-7.81,-2.34,15.16,13.84,176,2956,0.00,36.00,5.68,104,0.00,5.22,-9.58,14.87,1.96,0.00,-4.49,5.49,0.72
330689,-7.81,-2.34,14.81,13.84,176,2956,0.00,35.00,5.64,104,0.00,4.93,-10.01,13.32,1.90,0.00,-4.49,4.31,0.68
330933,-5.47,-2.34,15.04,13.84,176,2935,0.00,34.00,5.01,104,0.00,4.64,-10.30,12.55,1.86,0.00,-4.49,3.92,0.68
331178,-4.69,-2.34,14.93,13.84,176,2927,0.00,34.00,5.00,104,0.00,4.50,-10.30,12.04,1.86,0.00,-4.49,3.92,0.66
331419,-3.91,-2.34,14.81,13.84,176,2935,0.00,34.00,5.01,104,0.00,4.50,-10.30,12.04,1.86,0.00,-4.49,3.92,0.66
331666,-3.91,-3.12,14.81,13.84,176,2935,0.00,34.00,4.98,104,0.00,4.50,-10.30,12.04,1.86,0.00,-4.49,3.92,0.66
331910,-3.91,-3.12,14.70,13.76,176,2914,0.00,33.50,4.97,104,0.00,4.50,-10.30,12.04,1.86,0.00,-4.49,3.92,0.66
332155,-4.69,-3.12,14.47,13.84,176,2894,0.00,34.00,4.94,104,0.00,4.50,-10.30,12.15,1.86,0.00,-4.49,3.92,0.66
332399,-4.69,-3.12,14.59,13.84,176,2896,0.00,34.00,4.94,104,0.00,4.50,-10.30,12.21,1.86,0.00,-4.49,3.92,0.66
332641,-4.69,-3.12,14.59,13.84,176,2886,0.00,34.00,4.91,104,0.00,4.50,-10.30,12.41,1.88,0.00,-4.49,3.92,0.68
332885,-5.47,-3.12,14.47,13.76,176,2896,0.00,34.50,5.56,104,0.00,4.64,-10.16,13.11,1.90,0.00,-4.49,4.71,0.70
333130,-7.81,-3.12,14.13,13.84,176,2878,0.00,35.00,5.53,104,0.00,4.79,-10.01,13.95,1.92,0.00,-4.49,4.71,0.70
333372,-8.59,-3.12,14.47,13.84,176,2873,0.00,35.50,5.53,104,0.00,4.93,-9.87,14.38,1.94,0.00,-4.18,5.10,0.72
333617,-8.59,-3.12,14.59,13.84,176,2864,0.00,37.50,5.50,104,0.00,5.08,-9.43,15.29,2.06,0.00,-3.87,7.06,0.78
333858,-13.28,-3.12,13.90,13.84,176,2874,0.00,37.00,8.59,104,0.00,6.67,-7.69,24.16,2.24,0.00,-2.32,10.98,0.90
334103,-12.50,-4.69,14.59,13.84,176,2886,0.00,36.00,9.24,104,0.00,8.27,-6.53,28.92,2.34,0.00,-1.70,12.55,0.96
334346,-11.72,-4.69,14.81,13.84,176,2881,0.00,35.50,9.81,104,0.00,8.71,-6.09,30.12,2.36,0.00,-1.70,13.33,0.98
334592,-10.16,-4.69,14.93,13.84,176,2898,0.00,35.50,9.89,104,0.00,9.00,-5.80,30.66,2.38,0.00,-1.70,13.33,0.98
334835,-9.38,-4.69,14.81,13.84,176,2892,0.00,35.50,9.87,104,0.00,9.00,-5.80,30.88,2.38,0.00,-1.70,13.33,0.98
335078,-9.38,-4.69,14.70,13.84,176,2914,0.00,35.50,9.92,104,0.00,9.00,-5.80,31.10,2.38,0.00,-1.70,13.33,0.98
335320,-8.59,-4.69,14.70,13.84,176,2919,0.00,35.50,9.96,104,0.00,9.14,-5.66,31.43,2.38,0.00,-1.70,13.33,0.98
335563,-8.59,-4.69,14.70,13.76,176,2911,0.00,35.50,10.56,104,0.00,9.14,-5.66,31.43,2.40,0.00,-1.70,13.33,0.98
335806,-8.59,-4.69,14.70,13.76,176,2922,0.00,35.50,9.98,104,0.00,9.14,-5.66,31.22,2.38,0.00,-2.01,12.94,0.96
336050,-10.94,-4.69,14.36,13.76,176,2939,0.00,37.50,9.40,104,0.00,8.27,-6.67,26.92,2.28,0.00,-2.32,10.98,0.90
336295,-10.16,-4.69,14.70,13.84,176,2933,0.00,37.50,8.76,104,0.00,7.69,-7.11,25.98,2.26,0.00,-2.63,10.59,0.88
336542,-10.16,-4.69,14.70,13.84,176,2936,0.00,38.00,8.14,104,0.00,7.55,-7.25,25.25,2.26,0.00,-2.63,10.20,0.88
336785,-10.16,-4.69,14.70,13.84,176,2938,0.00,38.00,8.19,104,0.00,7.55,-7.40,24.59,2.24,0.00,-2.63,10.20,0.88
337029,-10.16,-4.69,14.70,13.84,176,2949,0.00,38.00,8.18,104,0.00,7.40,-7.40,24.81,2.24,0.00,-2.63,10.20,0.86
337273,-10.16,-5.47,14.70,13.84,176,2955,0.00,38.00,8.20,104,0.00,7.25,-7.55,24.16,2.22,0.00,-2.94,9.41,0.84
337515,-13.28,-3.12,13.90,13.84,176,2950,0.00,38.00,6.29,104,0.00,6.09,-8.71,17.69,2.04,0.00,-3.87,6.67,0.76
337759,-8.59,-3.12,15.27,13.84,176,2942,0.00,36.00,5.64,104,0.00,5.51,-9.43,15.05,1.96,0.00,-4.49,5.49,0.72
338006,-7.03,-3.12,14.93,13.84,176,2940,0.00,36.00,5.64,104,0.00,5.22,-9.58,14.87,1.96,0.00,-4.49,5.49,0.72
338250,-7.81,-3.12,14.70,13.84,176,2944,0.00,35.50,5.65,104,0.00,5.08,-9.72,14.99,1.96,0.00,-4.49,5.49,0.72
338492,-7.81,-3.12,14.70,13.84,176,2941,0.00,36.00,5.65,104,0.00,5.08,-9.72,14.99,1.96,0.00,-4.49,5.49,0.72
338738,-7.81,-3.12,14.59,13.84,176,2940,0.00,36.00,5.60,104,0.00,5.22,-9.58,15.23,1.98,0.00,-4.18,5.88,0.74
338984,-7.81,-3.12,14.70,13.76,176,2928,0.00,36.50,6.25,104,0.00,5.37,-9.43,16.21,2.02,0.00,-3.87,6.27,0.76
339227,-8.59,-3.12,14.47,13.84,176,2930,0.00,38.00,6.88,104,0.00,5.80,-9.00,18.73,2.08,0.00,-3.56,7.84,0.80
339472,-10.16,-3.91,14.36,13.84,176,2930,0.00,38.50,6.88,104,0.00,6.24,-8.56,19.09,2.10,0.00,-3.25,8.24,0.82
339714,-10.16,-3.91,14.47,13.84,176,2936,0.00,39.00,6.87,104,0.00,6.38,-8.42,20.26,2.14,0.00,-3.25,8.24,0.82
339961,-10.16,-3.91,14.59,13.76,176,2925,0.00,38.50,6.86,104,0.00,6.38,-8.42,20.43,2.14,0.00,-3.25,8.24,0.82
340203,-10.94,-3.91,14.59,13.76,176,2922,0.00,38.50,6.86,104,0.00,6.38,-8.42,20.78,2.14,0.00,-3.25,8.63,0.82
340446,-10.94,-3.91,14.59,13.84,176,2939,0.00,38.50,6.90,104,0.00,6.38,-8.27,20.78,2.14,0.00,-3.25,8.63,0.82
340690,-10.94,-3.91,14.70,13.84,176,2930,0.00,38.50,6.87,104,0.00,6.53,-8.27,20.86,2.14,0.00,-3.25,8.63,0.82
340935,-10.94,-3.91,14.70,13.84,176,2930,0.00,38.50,7.50,104,0.00,6.53,-8.27,21.11,2.16,0.00,-3.25,8.63,0.82
341178,-10.94,-3.91,14.70,13.84,176,2922,0.00,38.00,7.48,104,0.00,6.67,-8.13,21.89,2.18,0.00,-3.25,9.02,0.84
341420,-10.16,-3.91,14.70,13.84,176,2943,0.00,38.00,8.14,104,0.00,6.96,-7.84,23.50,2.22,0.00,-2.94,10.20,0.86
341665,-9.38,-5.47,14.81,13.84,176,2944,0.00,37.50,8.17,104,0.00,7.40,-7.25,25.48,2.26,0.00,-2.63,10.98,0.90
341909,-8.59,-5.47,14.81,13.84,176,2938,0.00,37.00,8.77,104,0.00,7.84,-6.96,26.92,2.28,0.00,-2.32,11.37,0.92
342153,-7.03,-5.47,14.93,13.84,176,2940,0.00,36.50,8.81,104,0.00,8.13,-6.67,27.95,2.32,0.00,-2.32,11.76,0.92
342399,-7.03,-5.47,14.81,13.84,176,2954,0.00,36.50,9.45,104,0.00,8.27,-6.53,28.58,2.32,0.00,-2.01,11.76,0.92
342644,-6.25,-5.47,14.81,13.76,176,2962,0.00,36.50,9.48,104,0.00,8.27,-6.38,28.58,2.34,0.00,-2.01,12.16,0.94
342889,-5.47,-5.47,14.81,13.76,176,2966,0.00,36.50,9.49,104,0.00,8.42,-6.38,29.13,2.34,0.00,-2.01,12.16,0.94
343132,-4.69,-5.47,14.81,13.76,176,2969,0.00,36.50,9.47,104,0.00,8.42,-6.38,29.03,2.34,0.00,-2.01,12.16,0.94
343375,-3.12,-5.47,14.93,13.76,176,2965,0.00,36.50,9.49,104,0.00,8.56,-6.24,29.02,2.36,0.00,-2.01,12.16,0.94
343618,-2.34,-5.47,14.81,13.84,176,2970,0.00,36.50,9.50,104,0.00,8.56,-6.24,29.68,2.34,0.00,-2.01,12.16,0.94
343863,-1.56,-5.47,14.81,13.76,176,2976,0.00,36.50,9.52,104,0.00,8.56,-6.24,29.68,2.36,0.00,-2.01,12.16,0.94
344106,-0.78,-5.47,14.81,13.84,176,2982,0.00,36.50,9.53,104,0.00,8.56,-6.24,29.57,2.34,0.00,-2.01,12.16,0.94
344351,0.00,-5.47,14.81,13.84,176,2982,0.00,36.00,9.54,104,0.00,8.71,-6.09,29.90,2.36,0.00,-2.01,12.16,0.94
344596,0.00,-5.47,14.59,13.84,176,2986,0.00,36.50,9.55,104,0.00,8.71,-6.09,29.90,2.36,0.00,-2.01,12.16,0.94
344841,1.56,-5.47,14.93,13.76,176,2998,0.00,36.50,9.60,104,0.00,8.71,-6.09,29.68,2.36,0.00,-2.32,12.16,0.94
345085,3.12,-5.47,14.81,13.76,176,2983,0.00,36.00,9.58,104,0.00,8.71,-6.09,29.79,2.38,0.00,-2.01,12.55,0.94
345328,4.69,-5.47,14.93,13.76,176,3004,0.00,36.50,9.61,104,0.00,8.71,-6.24,29.68,2.36,0.00,-2.32,12.16,0.94
345572,4.69,-5.47,14.59,13.76,176,2996,0.00,38.00,8.31,102,0.00,7.84,-6.96,26.09,2.26,0.00,-2.94,10.59,0.88
345817,6.25,-5.47,14.81,13.76,176,3013,0.00,38.00,8.32,102,0.00,7.55,-7.25,25.25,2.26,0.00,-2.94,10.20,0.88
346060,7.81,-5.47,14.93,13.76,176,3000,0.00,38.00,8.32,102,0.00,7.55,-7.40,25.04,2.24,0.00,-2.94,10.20,0.86
346302,9.38,-5.47,14.81,13.76,176,3008,0.00,38.00,7.70,102,0.00,7.25,-7.55,23.72,2.22,0.00,-2.94,9.80,0.86
346549,11.72,-3.91,14.93,13.84,176,3006,0.00,38.00,7.69,102,0.00,7.11,-7.69,23.08,2.20,0.00,-2.94,9.41,0.86
346792,12.50,-3.91,14.81,13.76,176,3006,0.00,38.00,7.66,102,0.00,7.11,-7.69,22.86,2.20,0.00,-2.94,9.41,0.86
347038,14.84,-3.91,14.81,13.76,176,2998,0.00,38.00,7.68,102,0.00,7.11,-7.69,22.75,2.20,0.00,-2.94,9.41,0.86
347281,16.41,-3.91,14.81,13.76,176,3000,0.00,38.00,7.68,102,0.00,7.11,-7.69,22.86,2.20,0.00,-2.94,9.41,0.86
347524,17.19,-3.91,14.70,13.76,176,2994,0.00,38.00,7.64,102,0.00,7.11,-7.69,23.08,2.20,0.00,-2.94,9.41,0.86
347767,17.97,-3.91,14.70,13.76,176,2993,0.00,38.00,7.66,102,0.00,7.11,-7.69,22.85,2.20,0.00,-2.94,9.41,0.86
348012,16.41,-3.91,14.36,13.76,176,2993,0.00,38.00,8.30,102,0.00,7.25,-7.55,23.50,2.22,0.00,-2.94,9.80,0.86
348256,14.84,-5.47,14.24,13.76,176,2992,0.00,38.00,8.30,102,0.00,7.55,-7.25,25.37,2.26,0.00,-2.63,10.59,0.88
348498,14.84,-5.47,14.24,13.76,176,2996,0.00,37.50,8.90,102,0.00,7.69,-6.96,26.09,2.28,0.00,-2.63,10.98,0.90
348743,14.06,-5.47,14.36,13.76,176,2982,0.00,37.00,8.91,102,0.00,7.98,-6.82,27.33,2.30,0.00,-2.32,11.37,0.92
348987,14.06,-5.47,14.47,13.76,176,2993,0.00,37.00,8.94,102,0.00,8.13,-6.53,27.95,2.32,0.00,-2.32,11.37,0.92
349231,12.50,-5.47,14.24,13.76,176,3000,0.00,37.00,8.96,102,0.00,8.27,-6.53,27.76,2.30,0.00,-2.32,11.37,0.92
349474,11.72,-5.47,14.36,13.76,176,3000,0.00,37.00,9.55,102,0.00,8.27,-6.53,28.27,2.32,0.00,-2.32,11.76,0.92
349717,10.94,-5.47,14.36,13.68,176,2984,0.00,37.00,9.55,102,0.00,8.42,-6.38,27.95,2.32,0.00,-2.32,11.76,0.92
349962,10.94,-5.47,14.36,13.76,176,3001,0.00,37.00,8.96,102,0.00,8.13,-6.67,26.09,2.26,0.00,-2.94,9.41,0.84
350204,7.81,-3.91,14.01,13.76,176,2996,0.00,39.00,7.01,102,0.00,6.82,-8.13,19.76,2.12,0.00,-3.56,7.84,0.80
350449,8.59,-3.91,14.59,13.76,176,2983,0.00,38.00,6.36,102,0.00,6.24,-8.85,18.04,2.06,0.00,-3.87,7.06,0.78
350690,10.16,-3.91,14.81,13.76,176,2975,0.00,37.50,6.35,102,0.00,5.80,-9.00,17.35,2.04,0.00,-3.87,6.67,0.76
350933,10.16,-3.91,14.59,13.76,176,2968,0.00,37.50,6.33,102,0.00,5.80,-9.00,17.35,2.06,0.00,-3.87,6.67,0.76
351180,9.38,-3.91,14.47,13.76,176,2963,0.00,37.50,6.33,102,0.00,5.80,-8.85,17.50,2.06,0.00,-3.87,7.06,0.78
351422,8.59,-3.91,14.24,13.84,176,2962,0.00,39.00,6.95,102,0.00,6.09,-8.71,19.26,2.10,0.00,-3.56,7.84,0.80
351667,7.03,-3.91,14.13,13.76,176,2960,0.00,38.50,7.58,102,0.00,6.53,-8.27,20.94,2.16,0.00,-3.25,8.63,0.82
351909,6.25,-3.91,14.47,13.84,176,2960,0.00,38.00,7.60,102,0.00,6.82,-7.84,23.19,2.20,0.00,-2.94,9.80,0.86
352154,4.69,-5.47,14.13,13.76,176,2969,0.00,38.00,8.23,102,0.00,7.40,-7.40,24.93,2.24,0.00,-2.63,10.59,0.88
352400,3.91,-5.47,14.36,13.76,176,2974,0.00,37.50,8.88,102,0.00,7.69,-7.11,26.09,2.28,0.00,-2.63,10.98,0.90
352644,3.12,-5.47,14.47,13.76,176,2969,0.00,37.50,8.87,102,0.00,7.98,-6.82,26.92,2.30,0.00,-2.32,11.37,0.92
352889,3.91,-5.47,14.59,13.76,176,2969,0.00,36.50,9.47,102,0.00,8.27,-6.53,28.16,2.32,0.00,-2.01,11.76,0.92
353131,3.91,-5.47,14.59,13.76,176,2962,0.00,36.50,9.48,102,0.00,8.42,-6.38,28.58,2.34,0.00,-2.01,12.16,0.94
353376,3.91,-5.47,14.47,13.76,176,2963,0.00,36.00,9.48,102,0.00,8.71,-6.09,29.90,2.36,0.00,-2.01,12.55,0.96
353623,3.91,-5.47,14.59,13.76,176,2984,0.00,35.50,10.75,102,0.00,9.00,-5.51,32.09,2.42,0.00,-1.39,13.73,1.00
353866,3.12,-5.47,14.36,13.76,176,2986,0.00,34.00,11.42,102,0.00,9.87,-4.79,34.63,2.48,0.00,-1.39,15.29,1.04
354109,3.12,-5.47,14.36,13.76,176,2980,0.00,34.00,12.08,102,0.00,10.59,-4.21,36.80,2.52,0.00,-0.77,16.08,1.06
354354,2.34,-5.47,14.47,13.76,176,2990,0.00,34.00,12.12,102,0.00,10.88,-3.92,38.16,2.54,0.00,-0.77,16.47,1.08
354600,0.78,-4.69,14.36,13.76,176,3008,0.00,34.00,12.79,102,0.00,11.17,-3.63,39.65,2.56,0.00,-0.46,16.86,1.08
354848,0.00,-3.91,14.36,13.76,176,3012,0.00,34.00,12.85,104,0.00,11.46,-3.34,40.20,2.58,0.00,-0.46,16.86,1.08
355101,-0.78,-3.91,14.47,13.76,176,3035,0.00,34.00,12.95,104,0.00,11.46,-3.34,40.34,2.58,0.00,-0.46,16.86,1.10
355349,-0.78,-1.56,14.59,13.76,176,3045,0.00,34.00,13.64,104,0.00,11.61,-3.19,40.88,2.58,0.00,-0.46,16.86,1.10
355596,-2.34,-1.56,14.36,13.76,176,3048,0.00,34.00,13.66,104,0.00,11.61,-3.19,41.43,2.58,0.00,-0.46,16.86,1.10
355838,-3.12,-1.56,14.47,13.76,176,3066,0.00,34.00,12.40,104,0.00,11.32,-3.77,38.98,2.50,0.00,-0.77,14.90,1.04
356082,-3.12,-2.34,14.70,13.76,176,3080,0.00,35.00,11.17,104,0.00,10.16,-4.93,33.66,2.44,0.00,-1.70,13.73,0.98
356325,-2.34,-2.34,14.70,13.76,176,3074,0.00,35.50,10.49,104,0.00,9.72,-5.22,33.17,2.42,0.00,-1.70,13.33,0.98
356570,-1.56,-3.12,14.81,13.76,176,3096,0.00,35.50,10.57,104,0.00,9.43,-5.37,32.45,2.42,0.00,-1.70,13.33,0.98
356815,-1.56,-3.12,14.70,13.84,176,3093,0.00,35.50,10.57,104,0.00,9.43,-5.37,32.56,2.42,0.00,-1.70,13.33,0.98
357057,1.56,-5.47,15.04,13.76,176,3094,0.00,35.50,10.56,104,0.00,9.43,-5.37,32.33,2.42,0.00,-1.70,13.33,0.98
357301,2.34,-5.47,14.93,13.76,176,3116,0.00,36.00,10.64,104,0.00,9.43,-5.37,32.21,2.42,0.00,-1.70,13.33,0.98
357545,3.12,-5.47,14.70,13.76,176,3109,0.00,36.50,10.64,104,0.00,9.29,-5.51,30.88,2.38,0.00,-2.32,12.55,0.94
357791,3.12,-5.47,14.59,13.76,176,3130,0.00,38.00,9.35,104,0.00,8.42,-6.53,27.54,2.30,0.00,-2.63,10.98,0.90
358033,3.12,-5.47,14.70,13.84,176,3114,0.00,38.00,8.64,104,0.00,8.13,-6.82,26.92,2.28,0.00,-2.63,10.98,0.90
358277,3.91,-5.47,14.59,13.76,176,3129,0.00,38.00,8.68,104,0.00,7.84,-6.96,25.87,2.28,0.00,-2.63,10.59,0.88
358520,3.91,-5.47,14.70,13.84,176,3133,0.00,38.00,8.65,104,0.00,7.69,-7.11,25.87,2.26,0.00,-2.94,10.59,0.88
358765,4.69,-5.47,14.70,13.84,176,3136,0.00,38.00,8.70,104,0.00,7.69,-7.11,25.47,2.26,0.00,-2.94,10.59,0.88
359009,6.25,-5.47,14.70,13.76,176,3128,0.00,38.00,8.01,104,0.00,7.55,-7.25,25.15,2.26,0.00,-2.94,10.59,0.88
359250,6.25,-5.47,14.59,13.84,176,3129,0.00,38.00,8.69,104,0.00,7.55,-7.25,25.67,2.26,0.00,-2.94,10.59,0.88
359494,7.03,-5.47,14.59,13.76,176,3124,0.00,38.00,8.66,104,0.00,7.55,-7.25,25.35,2.26,0.00,-2.94,10.20,0.88
359737,7.03,-5.47,14.59,13.76,176,3130,0.00,38.00,8.68,104,0.00,7.55,-7.25,25.48,2.26,0.00,-2.94,10.59,0.88
359980,7.03,-5.47,14.70,13.76,176,3142,0.00,38.00,8.71,104,0.00,7.55,-7.25,25.04,2.26,0.00,-2.94,10.59,0.88
360222,7.03,-5.47,14.47,13.76,176,3131,0.00,38.00,8.72,104,0.00,7.55,-7.25,25.26,2.26,0.00,-2.94,10.59,0.88
360466,7.03,-5.47,14.59,13.76,176,3144,0.00,38.00,8.72,104,0.00,7.55,-7.25,25.26,2.26,0.00,-2.94,10.59,0.88
360710,7.03,-5.47,14.59,13.76,176,3133,0.00,38.00,8.69,104,0.00,7.55,-7.25,25.26,2.26,0.00,-2.94,10.59,0.88
360955,6.25,-5.47,14.36,13.84,176,3131,0.00,38.00,8.73,104,0.00,7.55,-7.25,25.48,2.26,0.00,-2.94,10.59,0.88
361199,6.25,-5.47,14.47,13.84,176,3150,0.00,38.00,8.70,104,0.00,7.55,-7.40,25.25,2.24,0.00,-2.94,10.59,0.88
361443,6.25,-5.47,14.59,13.76,176,3134,0.00,38.00,8.69,104,0.00,7.40,-7.40,24.71,2.24,0.00,-2.94,10.20,0.88
361686,5.47,-5.47,14.47,13.76,176,3156,0.00,38.00,8.75,104,0.00,7.40,-7.40,25.26,2.26,0.00,-2.94,10.20,0.88
361930,4.69,-5.47,14.36,13.84,176,3150,0.00,38.00,8.04,104,0.00,7.40,-7.40,24.38,2.24,0.00,-2.94,10.20,0.88
362174,4.69,-5.47,14.47,13.76,176,3156,0.00,38.00,8.08,104,0.00,7.40,-7.40,24.27,2.24,0.00,-2.94,10.20,0.88
362418,3.91,-5.47,14.47,13.76,176,3152,0.00,38.50,8.07,104,0.00,7.40,-7.40,24.16,2.22,0.00,-2.94,10.20,0.88
362660,3.12,-5.47,14.36,13.76,176,3142,0.00,38.00,8.04,104,0.00,7.25,-7.55,24.38,2.22,0.00,-2.94,10.20,0.86
362904,3.12,-5.47,14.47,13.76,176,3144,0.00,38.50,8.08,104,0.00,7.25,-7.55,23.94,2.22,0.00,-2.94,9.80,0.86
363148,3.12,-3.91,14.47,13.84,176,3156,0.00,38.50,8.08,104,0.00,7.11,-7.69,23.50,2.22,0.00,-3.25,9.80,0.86
363393,3.12,-3.91,14.59,13.76,176,3143,0.00,38.50,8.05,104,0.00,7.11,-7.69,23.28,2.20,0.00,-3.25,9.80,0.86
363636,3.91,-3.91,14.70,13.76,176,3148,0.00,38.50,8.09,104,0.00,7.11,-7.69,23.39,2.22,0.00,-3.25,9.80,0.86
363878,3.91,-3.91,14.70,13.76,176,3144,0.00,38.50,8.05,104,0.00,7.11,-7.69,23.07,2.20,0.00,-3.25,9.80,0.86
364122,3.91,-3.91,14.47,13.84,176,3142,0.00,38.50,8.04,104,0.00,7.11,-7.69,23.28,2.20,0.00,-3.25,9.80,0.86
364369,4.69,-3.91,14.59,13.76,176,3156,0.00,38.50,8.08,104,0.00,7.11,-7.69,23.61,2.22,0.00,-3.25,9.80,0.86
364612,3.91,-3.91,14.47,13.84,176,3155,0.00,38.50,8.05,104,0.00,7.11,-7.69,23.72,2.22,0.00,-3.25,9.80,0.86
364856,3.12,-3.91,14.47,13.76,176,3142,0.00,38.50,8.04,104,0.00,7.25,-7.69,23.61,2.22,0.00,-3.25,9.80,0.86
365100,3.91,-3.91,14.47,13.76,176,3152,0.00,38.50,8.07,102,0.00,7.25,-7.55,23.83,2.22,0.00,-3.25,9.80,0.86
365344,3.12,-3.91,14.36,13.76,176,3138,0.00,38.50,8.03,102,0.00,7.25,-7.55,24.16,2.24,0.00,-2.94,10.20,0.86
365588,3.12,-5.47,14.59,13.76,176,3135,0.00,38.50,8.08,102,0.00,7.25,-7.55,24.27,2.22,0.00,-3.25,9.80,0.86
365830,2.34,-3.91,14.59,13.84,176,3152,0.00,38.50,8.07,102,0.00,7.25,-7.55,24.27,2.22,0.00,-3.25,9.80,0.86
366074,2.34,-3.91,14.59,13.76,176,3139,0.00,38.50,8.04,102,0.00,7.25,-7.55,24.16,2.24,0.00,-2.94,10.20,0.86
366319,3.12,-5.47,14.70,13.84,176,3139,0.00,38.50,8.06,102,0.00,7.25,-7.55,24.16,2.22,0.00,-2.94,10.20,0.86
366563,3.12,-5.47,14.59,13.76,176,3136,0.00,38.50,8.03,102,0.00,7.25,-7.55,23.94,2.24,0.00,-2.94,9.80,0.86
366808,3.12,-5.47,14.47,13.76,176,3135,0.00,38.50,8.03,102,0.00,7.25,-7.55,23.83,2.22,0.00,-2.94,10.20,0.86
367057,2.34,-3.91,14.47,13.76,176,3147,0.00,38.00,8.06,102,0.00,7.25,-7.55,24.38,2.22,0.00,-3.25,9.80,0.86
367310,2.34,-3.91,14.47,13.76,176,3136,0.00,38.50,8.03,102,0.00,7.25,-7.55,24.16,2.24,0.00,-2.94,9.80,0.86
367557,2.34,-3.91,14.47,13.84,176,3133,0.00,38.50,8.06,102,0.00,7.25,-7.69,23.72,2.22,0.00,-3.25,9.80,0.86
367801,3.91,-3.91,14.70,13.84,176,3148,0.00,38.50,8.06,102,0.00,7.11,-7.69,23.39,2.22,0.00,-3.25,9.80,0.86
368046,3.91,-3.91,14.59,13.76,176,3136,0.00,38.50,8.03,102,0.00,7.11,-7.69,23.07,2.20,0.00,-3.25,9.80,0.86
368292,4.69,-3.91,14.59,13.76,176,3144,0.00,38.50,8.05,102,0.00,7.11,-7.69,23.07,2.20,0.00,-3.25,9.41,0.86
368535,3.91,-3.91,14.47,13.84,176,3134,0.00,38.50,8.02,102,0.00,7.11,-7.69,22.96,2.20,0.00,-3.25,9.80,0.86
368779,4.69,-3.91,14.59,13.76,176,3140,0.00,38.50,8.04,102,0.00,6.96,-7.69,22.85,2.20,0.00,-3.25,9.41,0.86
369023,4.69,-3.91,14.70,13.76,176,3150,0.00,38.50,8.06,102,0.00,7.11,-7.69,22.86,2.20,0.00,-3.25,9.41,0.86
369267,4.69,-3.91,14.59,13.76,176,3125,0.00,38.50,8.04,102,0.00,6.96,-7.84,22.85,2.18,0.00,-3.25,9.41,0.86
369512,5.47,-3.91,14.70,13.76,176,3136,0.00,38.50,8.03,102,0.00,6.96,-7.84,22.86,2.20,0.00,-3.25,9.41,0.86
369755,4.69,-3.91,14.59,13.76,176,3117,0.00,38.50,7.98,102,0.00,6.96,-7.84,22.42,2.18,0.00,-3.25,9.41,0.84
369997,4.69,-3.91,14.47,13.76,176,3128,0.00,38.50,8.01,102,0.00,6.96,-7.84,22.52,2.20,0.00,-3.25,9.41,0.84
